"code","nom du jeu","QTE PAQT","VALEUR","PRIX CARNET","ref facturation",
"889","BURGER QUIZ","50","3","150",- BURGER QUIZ 300,
"888","COUP DOUBLE","30","5","150","- COUP DOUBLE 2021",
"638","X10","75","2","150","- MULTIPLIERS 2E",
"140","CASH (nouveau)","60","5","300","140 - CASH8 300",
"141","BARAKA","60","5","300","141 - BARAKA 300",
"144","LE 3 EN 1","50","3","150","144 - LE 3 EN 1 150",
"145","MAXI OBJECTIF MAISON","60","5","300",#<null>#,
"146","CHANCE EN OR","50","3","150","146 - CHANCE EN OR 150 ",
"147","AS DE CŒUR","60","5","300","147 - AS DE COEUR 300",
"148","X20 (nouveau)","60","5","300","148 - MULTIPLIER X20 300",
"149","X10 (nouveau)","75","2","150","149 - MULTIPLIER X10 150",
"633","VEGAS","50","3","150","633 - VEGAS 2017",
"637","X20","30","5","150","637 - MULTIPLIER 5E",
"639","PACTOLE","75","2","150","639 - PACTOLE 2017",
"644","FETICHE","150","1","150","644 - NUMERO FETICHE 2018",
"647","BLACKJACK","150","2","300","647 - BLACK JACK 2018",
"648","CASH","60","5","300","648 - CASH7 300E",
"653","MAXI GOAL","50","3","150","653 - MAXI GOAL 2018",
"654","GOAL","150","1","150","654 - GOAL 2018",
"659","JACKPOT","60","5","300","659 - JACKPOT 2018",
"664","ASTRO","150","2","300","664 - ASTRO 2019",
"665","QUITTE OU DOUBLE","50","3","150",#<null>#,
"66802","SUPER 200 ","30","5","150",#<null>#,
"66804","SUPER 200 (nouveau)","60","5","300","668 - SUPER10OU200",
"671","MILLIONNAIRE","30","10","300","671 - MILLIONNAIRE 300E",
"672","SOLITAIRE","150","2","300","672 - SOLITAIRE 2019",
"673","MOTS CROISES MAXI","60","5","300","673 - MAXI MOTS CROISES 300E",
"674","MOTS CROISES MEGA","30","10","300","674 - MEGA MOTS CROISES 300E",
"675","MOTS CROISES","100","3","300","675 - MOTS CROISES 300E",
"685","GROSSE ROUE","100","3","300","685 - LA GROSSE ROUE 300",
"692","JUNGLE DES MYSTERES","50","3","150","692 - JUNGLE DES MYSTERES 150",
"696","BINGO ILLIKO","30","10","300",#<null>#,
"698","OBJECTIF MAISON","100","3","300","698 - OBJECTIF MAISON 2021",
"699","MEGA GOAL","30","10","300","699 - MEGA GOAL 300",
"702","QUI VEUT GAGNER MILLIONS","30","5","150","702 - QUI VEUT GAGNER DES MILLIONS",
"703","A PRENDRE OU A LAISSER","30","5","150","703 - A PRENDRE OU A LAISSER 150",
"792","MISSION PATRIMOINE","20","15","300","792 - MISSION PATRIMOINE 300 2022",
"793","PUZZLE","75","2","150","793 - PUZZLE 150",
"887","BANCO","150","1","150","887 - BANCO 150",
"693","TOUS EQUIPE France","30","10","300","693 - TOUS AVEC L'EQUIPE DE FRANCE 300",
"891","TOP CHRONO","50","3","150","891 - TOP CHRONO 150",
"892","MISSION PATRIMOINE","20","15","300","892 - MISSION PATRIMOINE 2021 300",
"893","LUCKY PASS","75","2","150",#<null>#,
"895","24 JOURS EN OR","50","3","150",#<null>#,
"788","ROUTE DES VACANCES","50","3","150","788 - ROUTE DES VACANCES 150",
"794","Bonne Année","50","3","150",#<null>#,
